Verse Number, Verse Text
1.,LIGHTLY your coursers travel through the regions when round thesea of air your car is flying. Your golden fellies scatter drops of moisture: drinking the sweetness ye atend the Mornings. 
2,Ye as ye travel overtake the Courser who flies apart the Friend of man most holy. 
3,Ye have deposited matured within her in the raw cow the first milk of the milch-cow 
4,Ye made the fierce heat to be full of sweetness for Atri at his wish like streaming water. Fire-offering thence is yours O Asvins Heroes: your car-wheels speed to us like springs of honey. 
5,Like Tugra's ancient son may I ye Mighty bring you to give your gifts with milk-oblations. 
6,When Bounteous Ones ye drive your yoked team downward ye send by your own natures understanding. 
7,For verily we truthful singers praise you the niggard trafficker is here excluded. 
8,You of a truth day after day O Asvins that he might win the very plenteous torrent 
9,When with the glory of your car ye travel when we go speeding like the priest of mortals 
10,With songs of praise we call to-day O Asvins that your new chariot for our own well-being That circles heaven with never-injured fellies. May we find strengthening food in full abundance. 
1.,WHAT dearest Pair is this in strength and riches that ye as Priests are bring from the waters? 
2,May your pure steeds rain-drinkers bring you hither swift as the tempest your celestial coursers Rapid as thought with fair backs full of vigour resplendent in their native light O Asvins. 
3,Your car is like a torrent rushing downward: may it come nigh broad-seated for our welfare - 
4,Here sprung to life they both have sung together with bodies free from stain with signs that mark them 
5,May your car-seat down-gliding golden-coloured according to your wish approach our dwellings. Men shall feed full the bay steeds of the other and Asvins they with roars shall stir the regions. 
6,Forth comes your strong Bull like a cloud of autumn sending abundant food of liquid sweetness. 
7,Your constant song hath been sent forth Disposers! that flows threefold in mighty strength O Asvins. Thus lauded give the suppliant protection moving or resting hear mine invocation. 
8,This song of bright contents for you is swelling in the men's hall where three-fold grass is.ready. 
9,The prudent worshipper like Pusan Asvins! praises you as he praises Dawn and Agni 
1.,THIS was the task. Appear promptly ye prudent Ones. Here is the chariot drawn by strong steeds: be y e 
2,Longed for most Indra-like mighty most Marut-like most w6nderful in deed car-bome best charioteers 
3,What make ye there ye Mighty? Wherefore linger ye with folk who offering not are held in high estee m? 
4,Crunch up on. every side the dogs who bark at us: slay ye our foes O Asvins this ye understand. 
5,Ye made for Tugra's son amid the water-floods that animated ship with wings to fly withal 
6,Four ships most welcome in the midst of ocean urged by the Asvins save the son of Tugra 
7,What tree was that which stood fixed in surrounding sea to which the son of Tugra supplicating clung? Like twigs of which some winged creature may take hold ye Asvins bore him off safely to your renown 
8,Welcome to you be this the hymn of praises uttered by Manas O Nasatyas Heroes 
1.,MAKE ready that which passes thought in swiftness that hath three wheels and triple seat ye Mighty Whereon ye seek the dwelling of the pious whereon threefold ye fly like birds with pinions. 
2,Light rolls your easy chariot faring earthward what time for food ye full of wisdom mount it. 
3,Ascend your lightly rolling car approaching the worshipper who turns him to his duties - Whereon ye come unto the house to quicken man and his offspring O Nasatyas Heroes. 
4,Let not the wolf let not the she-wolf harm you. Forsake me not nor pass me by or others. 
5,Gotama Purumilha Atri bringing oblations all invoke you for protection. 
6,We have passed o'er the limit of this darkness: our praise hath been bestowed on you O Asvins. 
1.,LET us invoke you both this day and after the priest is here with lauds when morn is breaking: Nasatyas wheresoe'er ye be. Heaven's Children for him who is more liberal than the godless. 
2,With us ye Mighty let yourselves be joyful glad in our stream of Soma slay the niggards. 
3,Nasatyas Pusans ye as Gods for glory arranged and set in order Surya's bridal. 
4,Your grace be with us ye who love sweet juices: further the hymn sung by the poet Mana 
5,This praise was made O liberal Lords O Asvins for you with fair adornment by the Manas. 
6,We have passed o'er the limit of this darkness: our praise hath been'bestowed on you O Asvins. 
1.,WHETHER of these is elder whether later? How were they born? Who knoweth it ye sages? 
2,The Twain uphold though motionless and footless a widespread offspring having feet and moving. 
3,1 call for Aditi's unrivalled bounty perfect celestial deathless meet for worship. 
4,May we be close to both the Worlds who suffer no pain Parents of Gods who aid with favour 
5,Faring together young with meeting limits Twin Sisters lying in their Parents' bosom. 
6,Duly I call the two wide seats the mighty the general Parents with the God’s protection. 
7,Wide vast and manifold whose bounds are distant -these reverent I address at this our worship. 
8,What sin we have at any time committed against the Gods our friend our house's chieftain 
9,May both these Friends of man who bless preserve me may they attend me with their help and favour. Enrich the man more liberal than the godless. May we ye Gods be strong with food rejoicing. 
10,Endowed with understanding I have uttered this truth for all to hear to Earth and Heaven. 
1,1 Be this my prayer fulfilled O Earth and Heaven wherewith. Father and Mother 1 address you. 
1.,LOVED of all men may Savitar through praises offered as sacred food come to our synod 
2,To us may all the Gods come trooped together Aryaman Mitra Varuna concordant 
3,Agni I sing the guest you love most dearly: the Conqueror through our lauds is friendly-minded. 
4,To you I seek with reverence Night and Morning like a cow good to milk with hope to conquer Preparing on a common day the praise song with milk of various hues within this udder. 
5,May the great Dragon of the Deep rejoice us: as one who nourishes her young comes Sindhu 
6,Moreover Tvastar also shall approach us one-minded with the princes at his visit. 
7,Him too our hymns delight that yoke swift horses like mother cows who lick their tender youngling. To him our songs shall yield themselves like spouses to him the most delightful of the Heroes. 
8,So may the Maruts armed with mighty weapons rest here on heaven and earth with hearts in concord As Gods whose cars have dappled steeds like torrents destroyers of the foe allies of Mitra. 
9,They hasten on to happy termination their orders when they are made known by glory. 
10,Incline the Asvins to show grace and Pusan for power and might have they their own possession. Friendly are Visnu Vata and Rbhuksan so may 1 bring the Gods to make us happy. 
1,1 This is my reverent thought of you ye Holy; may it inspire you make you dwell among us- Thought toiling for the Gods and seeking treasure. May we find strengthening food in full abundance. 
1,. Now will 1 glorify Food that upholds great strength. By whose invigorating power Trita rent Vrtra limb from limb. 
2,O pleasant Food O Food of meath thee have we chosen for our own 
3,Come hitherward to us O Food auspicious with auspicious help 
4,These juices which O Food are thine throughout the regions are diffused like winds they have their place in heaven. 
5,These gifts of thine O Food O Food most sweet to taste 
6,In thee O Food is set the spirit of great Gods. 
7,If thou be gone unto the splendour of the clouds 
8,Whatever morsel we consume from waters or from plants of earth. O Soma wax thou fat thereby. 
9,What Soma we enjoy from thee in milky food or barley-brew Vatapi grow thou fat thereby. 
10,O Vegetable Cake of meal he wholesome firm and strengthening: Vatapi grow thou fat thereby. llO Food from thee as such have we drawn forth with lauds like cows our sacrificial gifts 
1.,WINNER of thousands kindled thou shinest a God with Gods to-day. Bear out oblations envoy Sage 
2,Child of Thyself the sacrifice is for the righteous blent with meath. 
3,Invoked and worthy of our praise bring Gods whose due is sacrifice: 
4,To seat a thousand Heroes they eastward have strewn the grass with might. 
5,The sovran all-imperial Doors wide good many and manifold 
6,With gay adornment fair to see in glorious beauty shine they forth: 
7,Let these two Sages first of all heralds divine and eloquent. 
8,You I address Sarasvati and Bharati and Ila all: 
9,Tvastar the Lord hath made all forms and all the cattle of the field Cause them to multiply for us. 
10,Send to the Gods Vanaspati thyself the sacrificial draught: 
1,1 Agni preceder of the Gods is honoured with the sacred song: 
1,. BY goodly paths lead us to riches Agni God who knowest every sacred duty. 
2,Lead us anew to happiness O Agni; lead us beyond all danger and affliction. 
3,Ear from us Agni put thou all diseases let them strike lauds that have no saving Agni. God make our home again to be a bless ing with all the Immortal Deities O Holy. 
4,Preserve us Agni with perpetual succour refulgent in the dwelling which thou lovest. 
5,Give not us up a prey to sin O Agni the greedy enemy that brings us trouble; 
6,Such as thou art born after Law O Agni when lauded give protection to our bodies 
7,Thou well discerning both these classes comest to men at early morn O holy Agni. 
8,To him have we addressed our pious speeches I Mana's son to him victorious Agni. 
1.,GLORIFY thou Brhaspati the scatheless who must be praised with hymns sweet-tongued and mighty 
2,On him wait songs according to the season even as a stream of pious men set moving. 
3,The praise the verse that offers adoration may he bring forth as the Sun sends his arms out 
4,His song of praise pervades the earth and heaven - let the wise worshipper draw it like a courser. 
5,Those God who count thee as a worthless bullock and wealthy sinners live on thee the Bounteous - On fools like these no blessing thou bestowest: Brhaspati thou punishest the spiteful. 
6,Like a fair path is he where grass is pleasant though hard to win a Friend beloved most early. 
7,He to whom songs of praise go forth like torrents as rivers eddying under banks flow sea-ward- Brhaspati the wise the eager closely looks upon both the waters and the vessel. 
8,So hath Brhaspati great strong and mighty the God exceeding powerful been brought hither. 
1.,VENOMOUS slightly venomous or venomous aquatic worm- Both creatures stinging unobserved with poison have infected me. 
2,Coming it kills the unobserved; it kills them as it goes away 
3,Sara grass Darbha Kusara and Sairya Munja Virana 
4,The cows had settled in their stalls the beasts of prey had sought their lairs 
5,Or these thesereptiles are observed like lurking thieves at evening time. 
6,Heaven is your Sire your Mother Earth Soma your Brother Aditi Your Sister: seeing all unseen keep still and dwell ye happily. 
7,Biters of shoulder or of limb with needle-stings most venomous 
8,Slayer of things unseen the Sun beheld of all mounts eastward up. 
9,There hath the Sun-God mounted up who scorches much and everything. 
10,I hang the poison in the Sun a wine-skin in a vintner's house 
1,1 This little bird so very small hath swallowed all thy poison up. 
12,The three-times-seven bright sparks of fire have swallowed up the poison's strength. 
13,Of ninety rivers and of nine with power to stay the venom's course - 
14,So have the peahens three-times-seven so have the maiden Sisters Seven Carried thy venom far away as girls bear water in their jars. 
15,The poison-insect is so small; I crush the creature with a stone. 
1,turn the poison hence away departed unto distant lands. 
16,Forth issuing from the mountain's side the poison-insect spake and said: 
1.,THOU Agni shining in thy glory through the days art brought to life from out the waters from the sto ne: 
2,Thine is the Herald's task and Cleanser's duly timed; Feader art thou and Kindler for the pious man. Thou art Director thou the ministering Priest: thou art the Brahman Ford and Master in our home. 
3,Hero of Heroes Agni! Thou art Indra thou art Visnu of the Mighty Stride adorable: 
4,Agni thou art King Varuna whose laws stand fast; as Mitra Wonder-Worker thou must be implored. Aryaman heroes' Ford art thou enrich ing all and liberal Amsa in the synod O thou God. 
5,Thou givest strength as Tvastar to the worshipper: thou wielding Mitra's power hast kinship with the Dames. 
6,Rudra art thou the Asura of mighty heaven: thou art the Maruts' host thou art the Ford of food 
7,Giver of wealth art thou to him who honours thee; thou art God Savitar granter of precious things. 
8,To thee the people's Lord within the house the folk press forward to their King most graciously incline d. 
9,Agni men seek thee as a Father with their prayers win thee bright-formed to brotherhood with holy a ct. 
10,A Rbhu art thou Agni near to be adored thou art the Sovran Lord of foodful spoil and wealth. 
1,1 Thou God art Aditi to him who offers gifts: thou Hotri Bharati art strengthened by the song. 
12,Thou Agni cherished well art highest vital power; in thy delightful hue are glories visible. 
13,Thee Agni have the Adityas taken as their mouth; the Bright Ones have made thee O Sage to be thei r 
14,By thee O Agni all the Immortal guileless Gods cat with thy mouth the oblation that is offered them. By thee do mortal men give sweetness to their drink. Bright art thou born the embryo of the plants of eart h. 
15,With these thou art united Agni; yea thou God of noble birth surpassest them in majesty 
16,The princely worshippers who send to those who sing thy praise O Agni guerdon graced with kine an d 
1,. WITH sacrifice exalt Agni who knows all life; worship him 'with oblation and the song of praise 
2,At night and morning Agni have they called to thee like milch-kine in their stalls lowing to meet their young. 
3,Him have the Gods established at the region's base doer of wondrous deeds Herald of heaven and earth 
4,Him have they set in his own dwelling in the vault like the Moon waxing fulgent in the realm of air. Bird of the firmament observant with his eyes guard of the place as 'twere looking to Gods and men. 
5,May he as Priest encompass all the sacrifice men throng to him with offerings and with hymns of prais e. 
6,Such as thou art brilliantly kindled for our weal a liberal giver send us riches in thy shine 
7,Agni give us great wealth give riches thousandfold unclose to us like doors strength that shall bring renown. 
8,Enkindled night by night at every morning's dawn may he shine forth with red flame like the realm of light 
9,Song chanted by us men O Agni Ancient One has swelled unto the deathless Gods in lofty heaven- A milch-cow yielding to the singer in the rites wealth manifold in hundreds even as he wills. 
10,Agni may we show forth our valour with the steed or with the power of prayer beyond all other men; And over the Five Races let our glory shine high like the realm of light and unsurpassable. 
1,1 Such Conqueror! be to us be worthy of our praise thou for whom princes nobly born exert themselve 
12,Knower of all that lives O Agni may we both singers of praise and chiefs be in thy keeping still. 
13,The princely worshippers who send to those who sing thy praise O Agni guerdon graced with kine a nd 
1.,AGNI is set upon the earth well kindled; he standeth in the presence of all beings. 
2,May Narasamsa lighting up the chambers bright in his majesty through threefold heaven 
3,Adored in heart as is thy right O Agni serve the Gods first to-day before the mortal. 
4,O Grass divine increasing rich in heroes strewn for wealth' sake well laid upon this altar - On this bedewed with oil sit ye O Vasus sit all ye Gods ye Holy ye Adityas. 
5,Wide be the Doors the Goddesses thrown open easy to pass invoked through adorations 
6,Good work for us the glorious Night and Morning like female weavers waxen from aforetime Yielders of rich milk interweave in concert the long-extended thread the web of worship. 
7,Let the two heavenly Heralds first most wise most fair present oblation duly with the sacred verse Worshipping God at ordered seasons decking them at three high places at the centre of the earth. 
8,Sarasvati who perfects our devotion Ila divine Bharati all surpassing - 
9,Born is the pious hero swift of hearing like gold in hue well formed and full of vigour. 
10,Vanaspati shall stand anear and start us and Agni with his arts prepare oblation. 
1,1 Oil has been mixt: oil is his habitation. In oil he rests: oil is his proper province. Come as thy wont is: O thou Steer rejoice thee; bear off the oblation duly consecrated. 
2,Bhrgus who served him in the home of waters set him of old in houses of the living. 
3,Among the tribes of men the Gods placed Agni as a dear Friend when they would dwell among them. Against the longing nights may he shine brightly and show the offerer in the house his vigour. 
4,Sweet is his growth as of one's own possessions; his look when rushing fain to burn is lovely. 
5,Since they who honour me have praised my greatness -he gave as 'twere his hue to those who love hi 
6,Like one athirst he lighteth up the forests; like water down the chariot ways he roareth. 
7,Around consuming the broad earth he wanders free roaming like an ox without a herdsman - Agni refulgent burning up the bushes with blackened lines as though the earth he seasoned. 
8,I in remembrance of thine ancient favour have sung my hymn in this our third assembly. 
9,May the Grtsamadas serving in secret through thee O Agni overcome their neighbours 
1,. HERALD and teacher was he born a guardian for our patrons' help Earner by rites of noble wealth. Th at Strong One may we grasp and guide; 2 In whom. Leader of sacrifice the seven reins far extended mee t; Who furthers man-like eighth in place as Cleanser all the work divine. 3 When swift he follows this behest bird-like he chants the holy prayers. He holds all knowledge in his grasp even as the felly rounds t he wheel. 4 Together with pure mental power pure as Director was he born. Skilled in his own unchangi ng laws he waxes like the growing boughs. 5 Clothing them in his hues the kine of him the Leader wait o n him. Is he not better than the Three the Sisters who have come to us? 6 When laden with the holy oil t he Sitster [sic] by the Mother stands The Priest delights in their approach as corn at coming of the rain. 7 For his support let him perform as ministrant his priestly task; Yea song of praise and sacrifice: we have bestowed let us obtain. 8 That so this man well skilled may pay worship to all the Holy Ones. And Agni  this our sacrifice which wehave here prepared to thee. 
1.,AGNI accept this flaming brand this waiting with my prayer on thee: Hear graciously these songs of praise. 
2,With this hymn let us honour thee seeker of horses Son of Strength 
3,As such lover of song with songs wealth-lover giver of our wealth! 
4,Be thou for us a liberal Prince giver and Lord of precious things. 
5,Such as thou art give rain from heaven give strength which no man may resist: Give food exceeding plentiful. 
6,To him who lauds thee craving help most youthful envoy! through our song Most holy Herald! come thou nigh. 
7,Between both races Agni Sage well skilled thou passest to and fro 
8,Befriend us thou as knowing all. Sage duly worship thou the Gods 
1.,VASU thou most youthful God Bharata Agni bring us wealth Excellent splendid much-desired. 
2,Let no malignity prevail against us either God's or man's. 
3,So through thy favour may we force through all our enemies a way 
4,Thou Purifier Agni high shinest forth bright adorable 
5,Ours art thou Agni Bharata honoured by us with barren cows 
6,Wood-fed bedewed with sacred oil ancient. Invoker excellent. 
1.,Now praise as one who strives for strength the harnessing of Agni's car The liberal the most splendid One; 
2,Who guiding worshippers aright withers untouched by age the foe: When worshipped fair to look upon; 
3,Who for his glory is extolled at eve and morning in our homes 
4,Who shines refulgent like the Sun with brilliance and with fiery flame Decked with imperishable sheen. 
5,Him Atri Agni have our songs Strengthened according to his sway: 
6,May we with Agni's Indra's help with Soma's yea of all the Gods Uninjured dwell together still and conquer those who fight with us. 
1.,ACCUSTOMED to the Herald's place the Herald hath seated him bright splendid passing mighty Whose foresight keeps the Law from violation excellent pure-tongued bringing thousands Agni. 
2,Envoy art thou protector from the foeman strong God thou leadest us to higher blessings. Refulgent be an ever-heedful keeper Agni for us and for our seed offspring. 
3,May we adore thee in thy loftiest birthplace and with our praises in thy lower station. 
4,Agni best Priest pay worship with oblation; quickly commend the gift to be presented; 
5,The twofold opulence O Wonder-Worker of thee new-bom each day never decreases. 
2,May Agni the resplendent hear my calling through all my songs. Immortal keen of insight. 
3,On wood supine they got the well-formed Infant: a germ in various-fashioned plants was Agni; 
4,With oil and sacred gifts I sprinkle Agni who makes his home in front of all things living. 
5,I pour to him who looks in all directions: may he accept it with a friendly spirit. 
6,By choice victorious recognize thy portion: with thee for envoy may we speak like Manu. 
1.,HEAR thou my call O Indra; be not heedless: thine may we be for thee to give us treasures; 
2,Floods great and many compassed by the Dragon thou badest swell and settest free O Hero. Strengthened by songs of praise thou rentest piecemeal the Dasa him who deemed himself immortal. 
3,For Hero in the lauds wherein thou joyedst in hymns of praise O Indra songs of Rudras 
4,We who add strength to thine own splendid vigour laying within thine arms the splendid thunder- With us mayst thou O Indra waxen splendid with Surya overcome the Dasa races. 
5,Hero thou slewest in thy valour Ahi concealed in depths mysterious great enchanter 
6,Indra we laud thy great deeds wrought aforetime we laud thine exploits later of achievement; We laud the bolt that in thine arms lies eager; we laud thy two Bay Steeds heralds of Surya. 
7,Indra thy Bay Steeds showing forth their vigour have sent a loud cry out that droppeth fatness. 
8,Down never ceasing hath the rain-cloud settled: bellowing it hath wandered with the Mothers. Swelling the roar in the far distant limits they have spread wide the blast sent forth by Indra. 
9,Indra hath hurled down the magician Vrtra who lay beleaguering the mighty river. 
10,Loud roared the mighty Hero's bolt of thunder when he the Friend of man burnt up the monster And having drunk his fill of flowing Soma baffled the guileful Danava's devices. 
1,1 Drink thou O Hero Indra drink the Soma; let the joy-giving juices make thee joyful. 
12,Singers have we become with thee O Indra: may we serve duly and prepare devotion. 
13,May we be thine such by thy help O Indra as swell thy vigour while they seek thy favour. 
14,Give us a friend give us an habitation; Indra give us the company of Maruts 
15,Let those enjoy in whom thou art delighted. Indra drink Soma for thy strength and gladness. 
16,Great verily are they O thou Protector who by their songs of praise have won the blessing. They who strew sacred grass to be thy dwelling helped by thee have got them strength O Indra. 
17,Upon the great Trikadruka days Hero rejoicing thee O Indra drink the Soma. 
18,Hero assume the might wherewith thou clavest Vrtra piecemeal the Danava Aurnavabha. 
19,May we gain wealth subduing with thy succour and with the Arya all our foes the Dasyus. 
20,He cast down Arbuda what time his vigour was strengthened by libations poured by Trta. 
21,Now let that wealthy Cow of thine O Indra yield in return a boon to him who lauds thee. 
1,. HE who just born chief God of lofty spirit by power and might became the Gods' protector Before whose breath through greatness of his valour the two worlds trembled He O men is Indra. 
2,He who fixed fast and firm the earth that staggered and set at rest the agitated mountains 
3,Who slew the Dragon freed the Seven Rivers and drove the kine forth from the cave of Vala Begat the fire between two stones the spoiler in warriors' battle He O men is Indra. 
4,By whom this universe was made to tremble who chased away the humbled brood of demons Who like a gambler gathering his winnings seized the foe's riches He O men is Indra. 
5,Of whom the Terrible they ask Where is He? or verily they say of him. He is not. 
6,Stirrer to action of the poor and lowly of priest of suppliant who sings his praises; 
7,He under whose supreme control are horses all chariots and the villages and cattle; 
8,To whom two armies cry in close encounter both enemies the stronger and the weaker; 
9,Without whose help our people never conquer; whom battling they invoke to give them succour; 
10,He who hath smitten ere they knew their danger with his hurled weapon many grievous sinners; 
1,1 He who discovered in the fortieth autumn Sambara as he dwelt among the mountains; 
12,Who with seven guiding reins the Bull the Mighty set free the Seven great Floods to flow at pleasure 
13,Even the Heaven and Earth bow down before him before his very breath the mountains tremble. Known as the Soma-drinker armed with thunder who wields the bolt He O ye men is Indra. 
14,Who aids with favour him who pours the Soma and him who brews it sacrificer singer. 
15,Thou verily art fierce and true who sendest strength to the man who brews and pours libation. 
1.,THE Season was the parent and when born therefrom it entered rapidly the floods wherein it grows. Thence was it full of sap streaming with milky juice: the milk of the plant's stalk is chief and meet for lau ds. 
2,They come trooping together bearing milk to him and bring him sustenance who gives support to all. The way is common for the downward streams to flow. Thou who didst these things first art worthy of ou r 
3,One priest announces what the institutor gives: one altering the forms zealously plies his task. 
4,Dealing out food unto their people there they sit like wealth to him who comes more than the back can bear. 
5,Thou hast created earth to look upon the sky: thou slaying Ahi settest free the river's paths. 
6,Thou givest increase thou dealest to us our food: thou milkest from the moist the dry the rich in sweets 
7,Thou who hast spread abroad the streams by stablished law and in the field the plants that blossom and bear seed; 
8,Who broughtest Narmara with all his wealth for sake of food to slay him that the fiends might be destroyed 
9,Thou boundest up the Dasa's hundred friends and ten when at one's hearing thou belpest thy worshipp er. 
10,All banks of rivers yielded to his manly might; to him they gave to him the Strong gave up their weal th. 
1,1 Meet for high praise O Hero is thy power that with thy single wisdom thou obtainest wealth. 
12,Thou for Turviti heldest still the flowing floods the river-stream for Vayya easily to pass 
13,Prepare thyself to grant us that great bounty O Vasu for abundant is thy treasure. 
1.,MINISTERS bring the Soma juice for Indra pour forth the gladdening liquor with the beakers.logeth e ver 
2,Ye ministers to him who with the lightning smote like a tree the rain-withholding Vrtra- Bring it to him him who is fain to taste it a draught of this which Indra here deserveth. 
3,Ye ministers to him who smote Drhhikas who drove the kine forth and discovered Vala 
4,Him who did Urana to death Adhvaryus ! though showing arms ninety-and-nine in number; 
5,Ye ministers to him who struck down Svasna and did to death Vyamsa and greedy Susna 
6,Ye ministers to him who as with thunder demolished Sambara's hundred ancient castles; 
7,Ye ministers to him who slew a hundred thousand and cast them down upon earth's bosom; 
8,Ministers men whatever thing ye long for obtain ye quickly bringing gifts to Indra. 
9,Do ye O ministers obey his order: that purified in wood in wood uplift ye. 
10,As the cow's udder teems with milk Adhvaryus so fill with Soma Indra liberal giver. 
1,1 Him ministers the Lord of heavenly treasure and all terrestrial wealth that earth possesses 
12,Prepare thyself to grant us that great booty O Vasu for abundant is thy treasure. 
1.,Now verily will I declare the exploits mighty and true of him the True and Mighty. 
2,High heaven unsupported in space he stablished: he filled the two worlds and the air's mid-region. Earth he upheld and gave it wide expansion. These things did Indra in the Soma's rapture. 
3,From front as 'twere a house he ruled and measured; pierced with his bolt the fountains of the rivers And made them flow at ease by paths far-reaching These things did Indra in the Soma's rapture. 
4,Compassing those who bore away Dabhiti in kindled fire he burnt up all their weapons. 
5,The mighty roaring flood he stayed from flowing and carried those who swam not safely over. 
6,With mighty power he made the stream flow upward crushed with his thunderbolt the car of Usas Rending her slow steeds with his rapid coursers. These things did Indra in the Soma's rapture. 
7,Knowing the place wherein the maids were hiding the outcast showed himself and stood before them. The cripple stood erect the blind beheld them. These things did Indra in the Soma's rapture. 
8,Praised by the Angirases he slaughtered Vala and burst apart the bulwarks of the mountain. 
9,Thou with sleep whelming Cumuri and Dhuni slewest the Dasyu keptest safe Dabhiti. 
10,Now let that wealthy Cow of thine O Indra yield in return a boon to him who lauds thee. 
1.,To him your own the best among the good I bring eulogy like oblation in the kindled fire. 
2,Without whom naught exists Indra the Lofty One; in whom alone all powers heroic are combined. 
3,Not by both worlds is thine own power to be surpassed nor may thy car be stayed by mountains or by s eas. 
4,For all men bring their will to him the Resolute to him the Holy One to him the Strong they cleave. 
5,The vessel of the strong flows forth the flood of meath unto the Strong who feeds upon the strong for drink. 
6,Strong is thy thunderbolt yea and thy car is strong; strong are thy Bay Steeds and thy weapons powerfu 
1,. 
7,I bold by prayer come near thee in thy sacred rites thee like a saving ship thee shouting in the war. Verily he will hear and mark this word of ours: we will pour Indra forth as 'twere a spring of wealth. 
8,Turn thee unto us ere calamity come nigh as a cow full of pasture turns her to her calf. 
9,Now let that wealthy Cow of thine O Indra yield in return a boon to him who lauds thee. 
2,Let him be even that God who for the earliest draught measuring out his power increased his majesty; Hero who fortified his body in the wars and through his greatness set the heaven upon his head. 
3,Thou didst perform thy first great deed of hero might what time thou showedst power through prayer before this folk. 
4,He made himself by might Lord of all living things and strong in vital power waxed great above them a 
5,He with his might made firm the forward-bending hills the downward rushing of the waters he ordaine d. 
6,Fit for the grasping of his arms is what the Sire hath fabricated from all kind of precious wealth. 
7,As she who in her parents' house is growing old 1 pray to thee as Bhaga from the seat of all. 
8,May we invoke thee as a liberal giver thou givest us O Indra strength and labours. 
9,Now may that wealthy Cow of thine O Indra give in return a boon to him who lauds thee. 
1.,THE rich new car hath been equipped at morning; four yokes it hath three whips seven reins to guide i t: 
2,This is prepared for him the first the second and the third time: he is man's Priest and Herald. 
3,To Indra's car the Bay Steeds have I harnessed that new well-spoken words may bring him hither. 
4,Indra come hitherward with two Bay Coursers come thou with four with six when invocated. 
5,O Indra come thou hither having harnessed thy car with twenty thirty forty horses. 
6,Come to us hitherward O Indra carried by eighty ninety or an hundred horses. 
7,To this my prayer O Indra come thou hither: bind to thy car's pole all thy two Bay Coursers. 
8,Ne'er be my love from Indra disunited still may his liberal Milch-cow yield us treasure. 
9,Now may that wealthy Cow Of thine O Indra give in return a boon to him who lauds thee. 
1.,DRAUGHTS of this sweet juice have been drunk for rapture of the wise Soma-presser's offered daint 
2,Cheered by this meath Indra whose hand wields thunder rent piecemeal Ahi who barred up the waters So that the quickening currents of the rivers flowed forth like birds unto their resting-places. 
3,Indra this Mighty One the Dragon's slayer sent forth the flood of waters to the ocean. 
4,To him who worshippeth hath Indra given many and matchless gifts. He slayeth Vrtra. 
5,To him who poured him gifts he gave up Surya -Indra the God the Mighty to the mortal; 
6,Once to the driver of his chariot Kutsa he gave up greedy Surya plague of harvest; 
7,So have we brought our hymn to thee O Indra strengthening thee and fain ourselves for glory. 
8,Thus the Grtsamadas for thee O Hero have wrought their hymn and task as seeking favour. 
9,Now may that wealthy Cow of thine O Indra give in return a boon to him who lauds thee 
1.,As one brings forth his car when fain for combat so bring we power to thee- regard us Indra- Well skilled in song thoughtful in spirit seeking great bliss from one like thee amid the Heroes. 
2,Indra thou art our own with thy protection a guardian near to men who love thee truly 
3,May Indra called with solemn invocations the young the Friend be men's auspicious keeper 
4,With laud and song let me extol that Indra in whom of old men prospered and were mighty. 
5,He Indra whom the Angirases' praise delighted strengthened their prayer and made their goings prospe r. 
6,He verily the God the glorious Indra hath raised him up for man best Wonder-Worker. 
7,Indra theVrtra-slayer Fort-destroyer scattered the Dasa hosts who dwelt in darkness. 
8,To him in might the Gods have ever yielded to Indra in the tumult of thebattle. 
9,Now may that wealthy Cow of thine O Indra give in return a boon to him who lauds thee. Give to thy praisers: let not fortune fail us. Loud may we speak with heroes in assembly. 
1,. To him the Lord of all the Lord of wealth of light; him who is Lord for ever Lord of men and tilth. Him who is Lord of horses Lord of kineof floods to Indra to the Holy bring sweet Soma juice. 2 To h im the potent One who conquers and breaks down the Victor never vanquished who disposes all The mighty-voiced the rider unassailable to Indra everconquering speak your reverent prayer. 
3,Still Victor loved by mortals ruler over men o'erthrower warrior he hath waxen as he would; Host-gatherer triumphant honoured mid the folk. Indra's heroic deeds will I tell forth to all. 
4,The strong who never yields who slew the furious fiend the deep the vast of wisdom unattainable; Who speeds the good the breaker-down the firm the vast -Indra whose rites bring joy hath made the lig ht 
5,By sacrifice the yearning sages sending forth their songs found furtherance from him who speeds the flo od. 
6,Indra bestow on us the best of treasures the spirit of ability and fortune; 
2,So he resplendent in the battle overcame Krivi by might. He with his majesty hath filled the earth and heaven and waxen strong. 
3,Brought forth together with wisdom and mighty power thou grewest great; with hero deeds subduing th e 
4,This Indra was thy hero deed Dancer thy first and ancient work worthy to be told forth in heaven What time thou sentest down life with a God's own power freeing the floods. 
1.,WE call thee Lord and Leader of the heavenly hosts the wise among the wise the famousest of all The King supreme of prayers O Brahmanaspati: hear us with help; sit down in place of sacrifice. 
2,Brhaspati God immortal! verily the Gods have gained from thee the wise a share in holy rites. 
3,When thou hast chased away revilers and the gloom thou mountest the refulgent car of sacrifice; 
4,Thou leadest with good guidance and preservest men; distress o'ertakes not him who offers gifts to thee. 
5,No sorrow no distress from any side no foes no creatures double-tongued have overcome the man- Thou drivest all seductive fiends away from him whom careful guard thou keepest Brahmanaspati. 
6,Thou art our keeper wise preparer of our paths: we for thy service sing to thee with hymns of praise. Brhaspati whoever lays a snare for us him may his evil fate precipitate destroy. 
